timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1769132663977,89,GET - Traffic Classification,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-20,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/traffic-classification,0,0,32
1769132664053,99,GET - Traffic History,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-19,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/traffic-history,0,0,26
1769132664067,85,GET - Traffic History by ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-20,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/traffic-history/2000046,0,0,34
1769132664152,104,GET - Average Speed,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-20,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/average-speed,0,0,40
1769132664176,171,GET - Traffic Classification,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-21,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/traffic-classification,0,0,34
1769132664256,91,GET - Traffic History,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-20,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/traffic-history,0,0,35
1769132664348,101,GET - Traffic History by ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-21,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/traffic-history/2000046,0,0,31
1769132664380,84,GET - Traffic Classification,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-22,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/traffic-classification,0,0,30
1769132664449,99,GET - Average Speed,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-21,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/average-speed,0,0,30
1769132664465,97,GET - Traffic History by ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-22,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/traffic-history/2000046,0,0,34
1769132664549,99,GET - Traffic History,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-21,text,false,,2632,0,3,3,http://76.13.18.72:8000/api/traffic-history,0,0,38
1769132664562,102,GET - Average Speed,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-22,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/average-speed,0,0,46
